name,datetime,temp,feelslike,precip,preciptype,snow,snowdepth,cloudcover,visibility
"Chicago, IL",2023-01-01T00:00:00,37.1,32,0,,0,0,100,6.8
"Chicago, IL",2023-01-01T01:00:00,37.6,33.1,0,,0,0,100,6.2
"Chicago, IL",2023-01-01T02:00:00,37.9,32.8,0,,0,0,100,5.8
"Chicago, IL",2023-01-01T03:00:00,39.1,34.5,0.02,rain,0,0,100,3.4
"Chicago, IL",2023-01-01T04:00:00,39.1,36.6,0.085,rain,0,0,100,2.8
"Chicago, IL",2023-01-01T05:00:00,39.2,39.2,0.01,rain,0,0,100,3.1
"Chicago, IL",2023-01-01T06:00:00,40.5,37.4,0,,0,0,100,0.9
"Chicago, IL",2023-01-01T07:00:00,41.6,39.2,0,,0,0,100,0.9
"Chicago, IL",2023-01-01T08:00:00,42.6,38.6,0,,0,0,100,4.5
"Chicago, IL",2023-01-01T09:00:00,42.6,38.5,0,,0,0,100,5.4
"Chicago, IL",2023-01-01T10:00:00,42.6,38,0,,0,0,100,5.8
"Chicago, IL",2023-01-01T11:00:00,42.9,39,0,,0,0,100,5.1
"Chicago, IL",2023-01-01T12:00:00,43,38.4,0,,0,0,100,4.1
"Chicago, IL",2023-01-01T13:00:00,44,39.1,0,,0,0,92.4,5.2
"Chicago, IL",2023-01-01T14:00:00,44.2,40.7,0,,0,0,81.7,6.3
"Chicago, IL",2023-01-01T15:00:00,44.1,40,0,,0,0,78.4,7.6
"Chicago, IL",2023-01-01T16:00:00,43.1,40.4,0,,0,0,88.8,6.8
"Chicago, IL",2023-01-01T17:00:00,41.3,41.3,0,,0,0,78.4,6.9
"Chicago, IL",2023-01-01T18:00:00,41.8,40.4,0,,0,0,78.4,7.1
"Chicago, IL",2023-01-01T19:00:00,41.9,37.1,0,,0,0,98.7,5.8
"Chicago, IL",2023-01-01T20:00:00,40.9,40.9,0,,0,0,88.1,5.8
"Chicago, IL",2023-01-01T21:00:00,40.4,40.4,0,,0,0,88.1,5.3
"Chicago, IL",2023-01-01T22:00:00,39.9,38.2,0,,0,0,88.1,4.2
"Chicago, IL",2023-01-01T23:00:00,39.1,39.1,0,,0,0,88.1,4
"Chicago, IL",2023-01-02T00:00:00,38.3,38.3,0,,0,0,100,2
"Chicago, IL",2023-01-02T01:00:00,37.8,37.8,0,,0,0,100,1.6
"Chicago, IL",2023-01-02T02:00:00,38.1,38.1,0,,0,0,86.1,2.1
"Chicago, IL",2023-01-02T03:00:00,34.6,34.6,0,,0,0,38.2,2.4
"Chicago, IL",2023-01-02T04:00:00,34.7,34.7,0,,0,0,53.1,4.8
"Chicago, IL",2023-01-02T05:00:00,32.6,32.6,0,,0,0,78.3,1
"Chicago, IL",2023-01-02T06:00:00,31.9,31.9,0,,0,0,78.3,1.5
"Chicago, IL",2023-01-02T07:00:00,32.9,32.9,0,,0,0,78.4,3
"Chicago, IL",2023-01-02T08:00:00,33.8,33.8,0,,0,0,80.9,4.7
"Chicago, IL",2023-01-02T09:00:00,36.4,33.2,0,,0,0,80.9,5.1
"Chicago, IL",2023-01-02T10:00:00,39.2,36.8,0,,0,0,88.1,7.5
"Chicago, IL",2023-01-02T11:00:00,41.3,37.2,0,,0,0,88.1,8.6
"Chicago, IL",2023-01-02T12:00:00,43.1,39.6,0,,0,0,88.1,9.8
"Chicago, IL",2023-01-02T13:00:00,42.7,38.3,0,,0,0,88.1,9.8
"Chicago, IL",2023-01-02T14:00:00,42.5,37.6,0,,0,0,71.3,9.9
"Chicago, IL",2023-01-02T15:00:00,41.5,35.9,0,,0,0,66,9
"Chicago, IL",2023-01-02T16:00:00,40.5,34.5,0,,0,0,98.9,8.9
"Chicago, IL",2023-01-02T17:00:00,39.7,33,0,,0,0,100,5.1
"Chicago, IL",2023-01-02T18:00:00,38.5,31.5,0,,0,0,100,2.7
"Chicago, IL",2023-01-02T19:00:00,38.8,32.9,0,,0,0,100,2.8
"Chicago, IL",2023-01-02T20:00:00,38.5,32.4,0,,0,0,100,2.6
"Chicago, IL",2023-01-02T21:00:00,38.6,32.3,0,,0,0,100,2.2
"Chicago, IL",2023-01-02T22:00:00,38.5,31.9,0,,0,0,100,1.4
"Chicago, IL",2023-01-02T23:00:00,39.4,32.1,0,,0,0,100,1.1
"Chicago, IL",2023-01-03T00:00:00,39.4,32.6,0,,0,0,100,0.7
"Chicago, IL",2023-01-03T01:00:00,40.4,34.3,0,,0,0,100,0.1
"Chicago, IL",2023-01-03T02:00:00,40.5,35.7,0.209,rain,0,0,100,1.1
"Chicago, IL",2023-01-03T03:00:00,40.5,34.4,0.271,rain,0,0,100,1.4
"Chicago, IL",2023-01-03T04:00:00,40.6,35,0.133,rain,0,0,100,2.1
"Chicago, IL",2023-01-03T05:00:00,41.3,33.9,0.102,rain,0,0,100,3.5
