ride_type,ride_category,status,tip,surge,duration,distance,pickup_address,dropoff_address,pickup_zip,dropoff_zip,earnings,ride_start,ride_end
Comfort,TRIP,COMPLETED,1.0,0.0,956,3.9,"N Ashland Ave, Chicago, IL 60614-1105, US","W Madison St, Chicago, IL 60612, US",60614,60612,10.72,2023-01-15 14:05:57,2023-01-15 14:21:53
UberX,TRIP,COMPLETED,0.0,0.0,835,2.4,"N Lincoln Ave, Chicago, IL 60613, US","N Southport Ave, Chicago, IL 60614, US",60613,60614,4.13,2023-01-15 13:45:31,2023-01-15 13:59:26
UberX,TRIP,COMPLETED,3.0,0.0,642,1.6,"N Clifton Ave, Chicago, IL 60657-2224, US","N Lincoln Ave, Chicago, IL 60613, US",60657,60613,7.56,2023-01-15 13:33:41,2023-01-15 13:44:23
UberX,TRIP,COMPLETED,3.0,3.75,713,1.5,"W Belmont Ave, Chicago, IL 60657-4511, US","3001 N Ashland Ave, Chicago, IL 60657, US",60657,60657,11.19,2023-01-15 13:17:41,2023-01-15 13:29:34
UberX,TRIP,COMPLETED,3.0,0.0,1317,5.5,"N Whipple St, Chicago, IL 60647-3821, US","N Lake Shore Dr, Chicago, IL 60657-3950, US",60647,60657,10.48,2023-01-15 12:12:29,2023-01-15 12:34:26
Connect Express,TRIP,COMPLETED,0.0,3.0,822,5.4,"N Morgan St, Chicago, IL 60607, US","N Kedzie Blvd, Chicago, IL 60647, US",60607,60647,11.69,2023-01-15 11:56:11,2023-01-15 12:09:53
UberX,TRIP,COMPLETED,3.0,0.0,783,4.9,"N Albany Ave, Chicago, IL 60647, US","W Madison St, Chicago, IL 60607, US",60647,60607,9.34,2023-01-15 11:36:27,2023-01-15 11:49:30
UberX,TRIP,COMPLETED,0.0,0.0,642,5.2,"W Madison St, Chicago, IL 60661, US","N Kedzie Blvd, Chicago, IL 60647, US",60661,60647,6.11,2023-01-15 11:25:24,2023-01-15 11:36:06
UberX,TRIP,COMPLETED,0.0,0.0,922,5.6,"N Sheffield Ave, Chicago, IL 60657-4420, US","S Canal St, Chicago, IL 60606, US",60657,60606,7.85,2023-01-15 11:05:24,2023-01-15 11:20:46
UberX,TRIP,COMPLETED,0.0,0.0,645,3.0,"N Sheridan Rd, Chicago, IL 60640-5618, US","W Belmont Ave, Chicago, IL 60657, US",60640,60657,4.14,2023-01-15 10:55:02,2023-01-15 11:05:47
UberX,TRIP,COMPLETED,0.0,0.0,948,4.4,"W Irving Park Rd, Chicago, IL 60641-2639, US","N Lincoln Ave, Chicago, IL 60625-2026, US",60641,60625,6.09,2023-01-15 09:41:54,2023-01-15 09:57:42
UberX,TRIP,COMPLETED,0.0,0.0,273,1.0,"W Waveland Ave, Chicago, IL 60634-2434, US","N Central Ave, Chicago, IL 60634, US",60634,60634,2.91,2023-01-15 09:33:15,2023-01-15 09:37:48
UberX,TRIP,COMPLETED,0.0,0.0,306,1.6,"W Addison Ave, Chicago, IL 60634, US","W Dakin St, Chicago, IL 60634-2413, US",60634,60634,3.04,2023-01-15 09:21:58,2023-01-15 09:27:04
UberX,TRIP,COMPLETED,0.0,0.0,1386,10.3,"W Farwell Ave, Chicago, IL 60626-3215, US","W Fletcher St, Chicago, IL 60641-4945, US",60626,60641,13.63,2023-01-15 08:50:02,2023-01-15 09:13:08
UberX,TRIP,COMPLETED,0.0,0.0,945,4.5,"W Giddings St, Chicago, IL 60625-3702, US","W Agatite Ave, Chicago, IL 60630-3502, US",60625,60630,11.22,2023-01-15 00:41:48,2023-01-15 00:57:33
UberX,TRIP,COMPLETED,0.0,1.5,739,3.1,"N Milwaukee Ave, Chicago, IL 60647, US","W Montrose Ave, Chicago, IL 60618-1505, US",60647,60618,12.87,2023-01-15 00:22:18,2023-01-15 00:34:37
UberX,TRIP,COMPLETED,0.0,2.0,637,3.1,"1725 W Division St, Chicago, IL 60622, US","W Palmer Blvd, Chicago, IL 60647-2818, US",60622,60647,13.57,2023-01-15 00:07:41,2023-01-15 00:18:18
UberXL,TRIP,COMPLETED,0.0,4.5,1795,18.5,"Oak Ave, Evanston, IL 60201-3891, US","W Chicago Ave, Chicago, IL 60642, US",60201,60642,38.41,2023-01-14 23:26:08,2023-01-14 23:56:03
UberX,TRIP,COMPLETED,1.0,2.0,734,2.9,"1616 Sherman Ave, Evanston, IL 60201, US","W Chase Ave, Chicago, IL 60645-1805, US",60201,60645,13.24,2023-01-14 23:08:54,2023-01-14 23:21:08
UberX,TRIP,COMPLETED,3.0,0.0,488,1.9,"Sherman Ave, Evanston, IL 60201-3710, US","Brown Ave, Evanston, IL 60201-3303, US",60201,60201,6.77,2023-01-14 22:57:50,2023-01-14 23:05:58
UberXL,TRIP,COMPLETED,5.0,0.0,699,3.1,"Park Ave, Wilmette, IL 60091-2502, US","616 Davis Street, Evanston, 60201, US",60091,60201,14.04,2023-01-14 22:31:21,2023-01-14 22:43:00
UberX,TRIP,COMPLETED,5.0,0.0,357,1.4,"W Foster Ave, Chicago, IL 60625-4806, US","W Berwyn Ave, Chicago, IL 60625, US",60625,60625,8.13,2023-01-14 22:14:58,2023-01-14 22:20:55
UberX,TRIP,COMPLETED,5.0,0.0,646,3.9,"N Keating Ave, Lincolnwood, IL 60712-3306, US","W Lawrence Ave, Chicago, IL 60625-5611, US",60712,60625,14.01,2023-01-14 21:57:00,2023-01-14 22:07:46
UberX,TRIP,COMPLETED,0.0,0.0,668,3.5,"N Broadway, Chicago, IL 60657-1825, US","N Wells St, Chicago, IL 60610, US",60657,60610,5.09,2023-01-14 21:22:28,2023-01-14 21:33:36
UberX,TRIP,COMPLETED,3.0,0.0,1021,3.5,"N Kingsbury St, Chicago, IL 60610-7430, US","W Newport Ave, Chicago, IL 60657-2313, US",60610,60657,16.21,2023-01-14 21:00:12,2023-01-14 21:17:13
