artistName,trackName,predicted_genre
Aphex Twin,Ageispolis,Electronic
Jamar Rogers,God Bless Your Lungs,
DJ MENOR ML,Troquei Meu Playstation Por Um Pentão De Robocop,
Overmono,If U Ever,
Overmono,Good Lies,
Overmono,Blow Out,
Barry Can't Swim,How It Feels,
Logic1000,YourLove,
Jasper Tygner,Deny It,
Major Lazer,Ke Shy - Joy Orbison Remix,
James Blake,Loading,
Overmono,Concorde,
Barry Can't Swim,God Is The Space Between Us,
Elkka,I Just Want To Love You,
Jasper Tygner,Voices,
JVKINHO,Dia de praia,
Bad Bunny,200 Mph,
Young Miko,ID,
((( O ))),Infintro,
Durdenhauer,Praise The Lord (Da Shine) (feat. Skepta) - Durdenhauer Edit,
Ray Lozano,Behind Bars,
James Blake,Mile High (feat. Travis Scott & Metro Boomin),
Travis Scott,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),
DJ Sliink,Football Anthem,
Blood Orange,Best to You,
Carla Morrison,Eres Tú,
Carlina,Lucky Girl,
Carly Pearl,Alchemist,
Loopa Scava,Bel Epoque,
Skye,Call Me,
Nicki Minaj,Last Time I Saw You,Hip-Hop
lemin.,when i met you,
Electric Mantis,"Flips and Flops, Drips and Drops",
A$AP Rocky,Wild for the Night (feat. Skrillex & Birdy Nam Nam),
Skrillex,Purple Lamborghini (with Rick Ross),
BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],
Skrillex,HUMBLE. - SKRILLEX REMIX,
Diplo,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",
Steve Aoki,Lit (feat. Gucci Mane & T-Pain),
Kendrick Lamar,m.A.A.d city,Hip-Hop
Fred again..,Baby again..,
G-Eazy,No Limit,
WATCH THE DUCK,Poppin' Off,
Yo Gotti,Rake It Up - Diplo & Party Favor Remix,
Skrillex,Kyoto (feat. Sirah),
Lil Baby,Drip Too Hard (Lil Baby & Gunna),
Future,Mask Off - Marshmello Remix,
Metro Boomin,Space Cadet (feat. Gunna),
T.I.,Hypno (feat. Rahky),
Desiigner,Panda,
Pickle,Crank That,
Jengi,Bel Mercy,
Swedish House Mafia,Turn On The Lights again.. (feat. Future & Fred again..) - Anyma Remix,
Lil Wayne,A Milli - SIDEPIECE Remix,
Alan Nieves,Okay Alright,
Reblok,Slim Shady,
Sage The Gemini,Gas Pedal - Kyle Watson Remix,
MELON,Whoopty,
Kid Cudi,Day 'N' Nite - Crookers Remix,
Heavy Crownz,DIRYTE BOY,
James Blake,Asking To Break,
James Blake,Tell Me,
James Blake,Fall Back,
James Blake,He's Been Wonderful,
James Blake,Big Hammer,
James Blake,I Want You To Know,
James Blake,Night Sky,
James Blake,Fire The Editor,
James Blake,If You Can Hear Me,
James Blake,Playing Robots Into Heaven,
Metro Boomin,Hummingbird (Metro Boomin & James Blake),
Jamila Woods,Boomerang,
James Blake,Coming Back (feat. SZA),
Don Toliver,Let Her Go (feat. James Blake),
Jungle,Candle Flame,
Metro Boomin,"Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)",
theMIND,The Proust Effect,
NICOLAS,TRYING TO FIGURE OUT,
James Blake,Retrograde,Electronic
Little Dragon,Frisco,
Róisín Murphy,You Knew - Edit,
Gotts Street Park,Mountains,
Halsey,"I am not a woman, I'm a god",
Ayla Nereo,Turning Wake,
Dan Aux,Clockwork,
Kali Uchis,la luz(Fín),
anaiis,Learn To Love,
Princess Nokia,The Conclusion,
Pablo Nouvelle,Every Time You Go,
Caroline Polachek,Hit Me Where It Hurts,
June Marieezy,If You Wanna,
WILLOW,Wait a Minute!,
Mac Miller,Soulmate,
Anna Diorio,Wild Woman,
East Forest,Doorway - Ethernet Remix,
Toni Jones,Inner Breakfast,
Masego,Tadow,
Koastle,Rainbows and Butterflies,
Ruby Chase,Heaven On Earth,
BICEP,Sundial,
