zip,city,state,latitude,longitude
00601,ADJUNTAS,PR,18.163995634,-66.71901754
00602,AGUADA,PR,18.385289457,-67.18383896
00603,AGUADILLA,PR,18.450963623,-67.14491698
00606,MARICAO,PR,18.191914026,-66.98321853
00610,ANASCO,PR,18.284549801,-67.1468618
00612,ARECIBO,PR,18.458300705,-66.72156163
00616,BAJADERO,PR,18.445186396,-66.61916958
00617,BARCELONETA,PR,18.437663322,-66.54876757
00622,BOQUERON,PR,18.0329,-67.1289
00623,CABO ROJO,PR,18.081159228,-67.15756083
00624,PENUELAS,PR,18.042847459,-66.72388142
00627,CAMUY,PR,18.473538058,-66.84395819
00637,SABANA GRANDE,PR,18.07097955,-66.94991148
00638,CIALES,PR,18.315388686,-66.4704764
00641,UTUADO,PR,18.254751029,-66.69833516
00646,DORADO,PR,18.446406012,-66.27933181
00647,ENSENADA,PR,17.963455666,-66.93785092
00650,FLORIDA,PR,18.379790292,-66.58516316
00652,GARROCHALES,PR,18.46747026,-66.61530519
00653,GUANICA,PR,17.973403906,-66.90653706
00656,GUAYANILLA,PR,18.019550746,-66.78895216
00659,HATILLO,PR,18.479034382,-66.81207398
00660,HORMIGUEROS,PR,18.138082534,-67.12310354
00662,ISABELA,PR,18.481670447,-67.02573925
00664,JAYUYA,PR,18.224168869,-66.59097158
00667,LAJAS,PR,18.04785348,-67.05742437
00669,LARES,PR,18.294540771,-66.88201205
00670,LAS MARIAS,PR,18.258828113,-66.99085608
00674,MANATI,PR,18.430966057,-66.48067651
00676,MOCA,PR,18.394362819,-67.11356206
00677,RINCON,PR,18.337566605,-67.24385005
00678,QUEBRADILLAS,PR,18.468057359,-66.93327591
00680,MAYAGUEZ,PR,18.18961331,-67.13711104
00682,MAYAGUEZ,PR,18.205773675,-67.17393124
00683,SAN GERMAN,PR,18.085389769,-67.04268274
00685,SAN SEBASTIAN,PR,18.330220992,-66.99321915
00687,MOROVIS,PR,18.342759428,-66.41566792
00688,SABANA HOYOS,PR,18.3613,-66.6224
00690,SAN ANTONIO,PR,18.493962254,-67.09974146
00692,VEGA ALTA,PR,18.432009217,-66.32932792
